Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Fiji,FJI,968296377.764879,914947432.405644,981420484.549961,1290507493.5182,1402202844.19849,1610673507.30981,1542135461.49933,1647872297.03695,2016565583.01351,1419739098.43882,1807130135.55665,2244423593.25846,2427702116.84206,2377615452.08497,2543209905.22606,2281871121.23635,2304372448.15239,2465415822.98488,2669316279.19864,2643519710.98862,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Finland,FIN,52780138176.9303,51570139634.4051,54531960392.6097,63266233983.4202,75302068373.5243,82301347797.6469,93679988822.1458,112601124542.595,128602389823.997,91655559397.7867,95826901900.7215,107242365381.405,101325433127.671,104835749339.168,101569175496.428,84681947406.0441,85750341934.9983,96077881357.685,106239259200.101,107992820635.417,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,France,FRA,390238669734.524,391797875796.132,418705150497.579,485610553980.232,559606270072.317,592887824736.826,650542716762.856,741104539983.27,827364384303.914,665186005058.911,709353195634.283,823711000283.508,795261606816.103,836579789954.485,853502991203.18,777544723906.606,780380655103.695,834697886110.817,918970416055.273,891181571269.847,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,French Polynesia,PYF,..,..,924815534.802062,1097832635.50811,1200180119.7847,1277881075.11566,1226356124.24386,1379502008.94587,1526152139.30863,1287883988.94729,1123595126.11685,1276574342.539,1134519616.25415,1167674715.56918,1259379434.65386,1120551433.57245,1201644319.94176,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Gabon,GAB,3492940831.47373,2778585272.60901,2633113430.74398,3344340933.12323,4223483167.98153,5602397111.77474,..,7014838336.69654,9242329127.68554,6617066755.59094,9340231071.72115,10476428947.469,10047189736.4236,9630340942.78342,8435839118.19789,5389959683.06363,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,"Gambia, The",GMB,..,..,..,134705416.219655,178362275.606961,186535368.959118,200943962.78735,262272595.441464,323079602.197596,278401503.795356,270568875.315234,249907458.24806,274745539.370269,261507033.705836,268858817.851384,262482359.984818,237138123.646254,264622911.435828,348045964.800789,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Georgia,GEO,846274639.44,865989989.55,992207442.37,1252000801.31,1625700139.94,2151801974.15,2499896419.78,3162652493.09,3658441763.62,3183015490.74,4034096539.53,5241870893.51,6021076671.81,7171698272.03,7038666142.48,6108160411.31,6177733455.89,7560033324.67,8896617467.44,9544767191.03,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Germany,DEU,599192161993.241,619472567529.327,677921541867.912,821570539407.486,1005137492229.84,1082219937640.7,1242373582882.34,1485139726422.87,1642854037600.95,1301336391468.4,1443337924604.33,1686062777954.46,1629432505631.4,1699810251831.03,1773618260202.99,1575246787584.94,1598254939909.91,1739094450009.2,1877497387261.59,1810926248597.76,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Ghana,GHA,2440594058.71039,2398772637.80784,2570090115.87,3192565896.5,3406777546.23,3908685122.49545,5109521115.71528,6004003831.20595,7070629251.88412,7609410000,9437380000,14595519045.752,16812023075.6352,16205962419.184,15261460189.3534,16463379633.7344,17469860326.4514,20436840000,22514756474.4676,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
